CityState,City,State,CountryRegion,Continent
Brooklyn-New York,Brooklyn,New York,United States,North America
Atlantic City-New Jersey,Atlantic City,New Jersey,United States,North America
Buffalo-New York,Buffalo,New York,United States,North America
Braintree-Massachusetts,Braintree,Massachusetts,United States,North America
Attleboro-Massachusetts,Attleboro,Massachusetts,United States,North America
Cape May-New Jersey,Cape May,New Jersey,United States,North America
Bangor-Maine,Bangor,Maine,United States,North America
Bar Harbor-Maine,Bar Harbor,Maine,United States,North America
Castle Rock-Colorado,Castle Rock,Colorado,United States,North America
Charleston-South Carolina,Charleston,South Carolina,United States,North America
Charlottesville-Virginia,Charlottesville,Virginia,United States,North America
Clearwater-Florida,Clearwater,Florida,United States,North America
Cheney-Washington,Cheney,Washington,United States,North America
Cle Elum-Washington,Cle Elum,Washington,United States,North America
Dallas-Texas,Dallas,Texas,United States,North America
Darien-Connecticut,Darien,Connecticut,United States,North America
Denton-Texas,Denton,Texas,United States,North America
Burlington-Wisconsin,Burlington,Wisconsin,United States,North America
Cape Canaveral-Florida,Cape Canaveral,Florida,United States,North America
Denver-Colorado,Denver,Colorado,United States,North America
Desoto-Texas,Desoto,Texas,United States,North America
East Orange-New Jersey,East Orange,New Jersey,United States,North America
East Troy-Wisconsin,East Troy,Wisconsin,United States,North America
Edgerton-Wisconsin,Edgerton,Wisconsin,United States,North America
Englewood-Colorado,Englewood,Colorado,United States,North America
Clifton-New Jersey,Clifton,New Jersey,United States,North America
Fall City-Washington,Fall City,Washington,United States,North America
Bothell-Washington,Bothell,Washington,United States,North America
Falmouth-Massachusetts,Falmouth,Massachusetts,United States,North America
Fond du Lac-Wisconsin,Fond du Lac,Wisconsin,United States,North America
Fort Atkinson-Wisconsin,Fort Atkinson,Wisconsin,United States,North America
Fort Worth-Texas,Fort Worth,Texas,United States,North America
Fort Lauderdale-Florida,Fort Lauderdale,Florida,United States,North America
Framingham-Massachusetts,Framingham,Massachusetts,United States,North America
Fredericksburg-Virginia,Fredericksburg,Virginia,United States,North America
Georgetown-Texas,Georgetown,Texas,United States,North America
Elmira-New York,Elmira,New York,United States,North America
Germantown-Maryland,Germantown,Maryland,United States,North America
Grand Prairie-Texas,Grand Prairie,Texas,United States,North America
Granger-Washington,Granger,Washington,United States,North America
Greeley-Colorado,Greeley,Colorado,United States,North America
Green Bay-Wisconsin,Green Bay,Wisconsin,United States,North America
Greenville-South Carolina,Greenville,South Carolina,United States,North America
Beijing-Beijing,Beijing,Beijing,China,Asia
Hartford-Connecticut,Hartford,Connecticut,United States,North America
Haverhill-Massachusetts,Haverhill,Massachusetts,United States,North America
Hillsboro-Texas,Hillsboro,Texas,United States,North America
Grand Junction-Colorado,Grand Junction,Colorado,United States,North America
Hingham-Massachusetts,Hingham,Massachusetts,United States,North America
Houston-Texas,Houston,Texas,United States,North America
Howard-Maryland,Howard,Maryland,United States,North America
Humble-Texas,Humble,Texas,United States,North America
Hackensack-New Jersey,Hackensack,New Jersey,United States,North America
Ithaca-New York,Ithaca,New York,United States,North America
Koln-North Rhine-Westphalia,Koln,North Rhine-Westphalia,Germany,Europe
Jacksonville-Florida,Jacksonville,Florida,United States,North America
Hoboken-New Jersey,Hoboken,New Jersey,United States,North America
Jersey City-New Jersey,Jersey City,New Jersey,United States,North America
Kennewick-Washington,Kennewick,Washington,United States,North America
Holyoke-Massachusetts,Holyoke,Massachusetts,United States,North America
Key West-Florida,Key West,Florida,United States,North America
La Porte-Texas,La Porte,Texas,United States,North America
Lafayette-Colorado,Lafayette,Colorado,United States,North America
Guangzhou-GuangDong,Guangzhou,GuangDong,China,Asia
Lakeland-Florida,Lakeland,Florida,United States,North America
Lewiston-Maine,Lewiston,Maine,United States,North America
Lewisville-Texas,Lewisville,Texas,United States,North America
Longview-Texas,Longview,Texas,United States,North America
Hong Kong-Hong Kong,Hong Kong,Hong Kong,China,Asia
Loveland-Colorado,Loveland,Colorado,United States,North America
Lowell-Massachusetts,Lowell,Massachusetts,United States,North America
Lynn-Massachusetts,Lynn,Massachusetts,United States,North America
Leominster-Massachusetts,Leominster,Massachusetts,United States,North America
Madison-Wisconsin,Madison,Wisconsin,United States,North America
Manitowoc-Wisconsin,Manitowoc,Wisconsin,United States,North America
Littleton-Colorado,Littleton,Colorado,United States,North America
Marshall-Texas,Marshall,Texas,United States,North America
Martinsville-Virginia,Martinsville,Virginia,United States,North America
Menasha-Wisconsin,Menasha,Wisconsin,United States,North America
Miami-Florida,Miami,Florida,United States,North America
Midland-Texas,Midland,Texas,United States,North America
Milliken-Colorado,Milliken,Colorado,United States,North America
Minden-Texas,Minden,Texas,United States,North America
Montclair-New Jersey,Montclair,New Jersey,United States,North America
Morristown-New Jersey,Morristown,New Jersey,United States,North America
Nantucket-Massachusetts,Nantucket,Massachusetts,United States,North America
Milwaukee-Wisconsin,Milwaukee,Wisconsin,United States,North America
Naples-Florida,Naples,Florida,United States,North America
New Bedford-Massachusetts,New Bedford,Massachusetts,United States,North America
New Brunswick-New Jersey,New Brunswick,New Jersey,United States,North America
New Castle-Colorado,New Castle,Colorado,United States,North America
New Haven-Connecticut,New Haven,Connecticut,United States,North America
New London-Connecticut,New London,Connecticut,United States,North America
New York-New York,New York,New York,United States,North America
Newark-New Jersey,Newark,New Jersey,United States,North America
Norfolk-Virginia,Norfolk,Virginia,United States,North America
North Bend-Washington,North Bend,Washington,United States,North America
Northampton-Massachusetts,Northampton,Massachusetts,United States,North America
Old Saybrook-Connecticut,Old Saybrook,Connecticut,United States,North America
Orange-Texas,Orange,Texas,United States,North America
Cerritos-California,Cerritos,California,United States,North America
Oregon-Wisconsin,Oregon,Wisconsin,United States,North America
Orono-Maine,Orono,Maine,United States,North America
Orlando-Florida,Orlando,Florida,United States,North America
Carrollton-Texas,Carrollton,Texas,United States,North America
Parker-Colorado,Parker,Colorado,United States,North America
Parkville-Maryland,Parkville,Maryland,United States,North America
Oshkosh-Wisconsin,Oshkosh,Wisconsin,United States,North America
Pasadena-Texas,Pasadena,Texas,United States,North America
Paterson-New Jersey,Paterson,New Jersey,United States,North America
Pittsfield-Massachusetts,Pittsfield,Massachusetts,United States,North America
Plano-Texas,Plano,Texas,United States,North America
Passaic-New Jersey,Passaic,New Jersey,United States,North America
Plattsburgh-New York,Plattsburgh,New York,United States,North America
Poestenkill-New York,Poestenkill,New York,United States,North America
Shanghai-Shanghai,Shanghai,Shanghai,China,Asia
Oswego-New York,Oswego,New York,United States,North America
Quincy-Massachusetts,Quincy,Massachusetts,United States,North America
Racine-Wisconsin,Racine,Wisconsin,United States,North America
Port Washington-Wisconsin,Port Washington,Wisconsin,United States,North America
Provincetown-Massachusetts,Provincetown,Massachusetts,United States,North America
Ridgely-Maryland,Ridgely,Maryland,United States,North America
Roanoke-Virginia,Roanoke,Virginia,United States,North America
Richardson-Texas,Richardson,Texas,United States,North America
Rochester-New York,Rochester,New York,United States,North America
Round Rock-Texas,Round Rock,Texas,United States,North America
San Antonio-Texas,San Antonio,Texas,United States,North America
Bountiful-Utah,Bountiful,Utah,United States,North America
Russellville-Texas,Russellville,Texas,United States,North America
Sheboygan-Wisconsin,Sheboygan,Wisconsin,United States,North America
Shreveport-Texas,Shreveport,Texas,United States,North America
Byron-Georgia,Byron,Georgia,United States,North America
Sebring-Florida,Sebring,Florida,United States,North America
Sedalia-Colorado,Sedalia,Colorado,United States,North America
Snoqualmie-Washington,Snoqualmie,Washington,United States,North America
Somerville-Massachusetts,Somerville,Massachusetts,United States,North America
South Portland-Maine,South Portland,Maine,United States,North America
Spring-Texas,Spring,Texas,United States,North America
Stoughton-Wisconsin,Stoughton,Wisconsin,United States,North America
Sunnyside-Washington,Sunnyside,Washington,United States,North America
Tallahassee-Florida,Tallahassee,Florida,United States,North America
Syracuse-New York,Syracuse,New York,United States,North America
Texas City-Texas,Texas City,Texas,United States,North America
Tampa-Florida,Tampa,Florida,United States,North America
Urumqi-Xinjiang,Urumqi,Xinjiang,China,Asia
Thornton-Colorado,Thornton,Colorado,United States,North America
Toppenish-Washington,Toppenish,Washington,United States,North America
Veradale-Washington,Veradale,Washington,United States,North America
Trenton-New Jersey,Trenton,New Jersey,United States,North America
Vineland-New Jersey,Vineland,New Jersey,United States,North America
Virginia Beach-Virginia,Virginia Beach,Virginia,United States,North America
Wapato-Washington,Wapato,Washington,United States,North America
Waterbury-Connecticut,Waterbury,Connecticut,United States,North America
Waukesha-Wisconsin,Waukesha,Wisconsin,United States,North America
Wheat Ridge-Colorado,Wheat Ridge,Colorado,United States,North America
Winchester-Virginia,Winchester,Virginia,United States,North America
